animal_id,species,breed,sex,age_months,holding_id,area_id,vaccinated_fmd
KE-000055,cattle,Ayrshire cross,F,105,H00011,A00,1
KE-000056,cattle,Sahiwal,M,85,H00011,A00,1
KE-000057,cattle,Sahiwal,F,23,H00011,A00,1
KE-000058,cattle,Zebu,M,92,H00012,A00,1
KE-000059,cattle,Zebu,F,91,H00012,A00,0
KE-000060,cattle,Zebu,F,92,H00012,A00,1
KE-000061,cattle,Zebu,M,73,H00012,A00,1
KE-000062,cattle,Zebu,F,27,H00012,A00,0
KE-000063,cattle,Friesian cross,M,73,H00012,A00,0
KE-000064,cattle,Sahiwal,M,107,H00012,A00,1
KE-000065,cattle,Sahiwal,F,69,H00012,A00,1
KE-000066,cattle,Sahiwal,M,112,H00012,A00,0
KE-000067,cattle,Sahiwal,F,53,H00013,A00,0
KE-000068,cattle,Zebu,F,18,H00013,A00,0
KE-000069,cattle,Boran,M,13,H00013,A00,1
KE-000070,cattle,Boran,M,28,H00013,A00,1
KE-000071,cattle,Boran,M,108,H00013,A00,1
KE-000072,cattle,Boran,F,84,H00013,A00,0
KE-000073,cattle,Boran,M,100,H00014,A00,0
KE-000074,cattle,Sahiwal,M,42,H00014,A00,0
KE-000075,cattle,Boran,M,72,H00014,A00,0
KE-000076,cattle,Friesian cross,M,92,H00015,A00,1
KE-000077,cattle,Boran,F,29,H00015,A00,0
KE-000078,cattle,Ayrshire cross,F,71,H00015,A00,0
KE-000079,cattle,Ayrshire cross,F,72,H00015,A00,0
KE-000080,cattle,Friesian cross,F,88,H00015,A00,0
KE-000081,cattle,Friesian cross,F,77,H00015,A00,0
KE-000082,cattle,Friesian cross,F,17,H00016,A00,0
KE-000083,cattle,Ayrshire cross,M,105,H00016,A00,1
KE-000084,cattle,Zebu,F,73,H00016,A00,0
KE-000085,cattle,Ayrshire cross,F,100,H00017,A00,0
KE-000086,cattle,Zebu,F,44,H00017,A00,0
KE-000087,cattle,Boran,F,88,H00017,A00,0
KE-000088,cattle,Zebu,F,11,H00017,A00,1
KE-000089,cattle,Boran,M,48,H00017,A00,0
KE-000090,cattle,Ayrshire cross,F,32,H00017,A00,1
KE-000091,cattle,Boran,F,98,H00017,A00,0
KE-000092,cattle,Ayrshire cross,F,97,H00017,A00,0
KE-000093,cattle,Ayrshire cross,F,115,H00018,A00,1
KE-000094,cattle,Ayrshire cross,M,111,H00018,A00,0
KE-000095,cattle,Ayrshire cross,F,68,H00018,A00,0
KE-000096,cattle,Friesian cross,F,62,H00018,A00,0
KE-000097,cattle,Friesian cross,M,114,H00019,A00,1
KE-000098,cattle,Ayrshire cross,M,12,H00019,A00,0
KE-000099,cattle,Boran,F,66,H00019,A00,0
KE-000100,cattle,Friesian cross,F,53,H00019,A00,1
KE-000101,cattle,Friesian cross,M,32,H00020,A00,1
KE-000102,cattle,Boran,F,31,H00020,A00,1
KE-000103,cattle,Zebu,F,24,H00020,A00,0
KE-000104,cattle,Friesian cross,M,77,H00021,A00,1
KE-000105,cattle,Ayrshire cross,M,110,H00021,A00,0
KE-000106,cattle,Zebu,F,77,H00021,A00,0
KE-000107,cattle,Sahiwal,F,84,H00021,A00,0
KE-000108,cattle,Ayrshire cross,M,72,H00021,A00,0
KE-000109,cattle,Zebu,F,7,H00021,A00,0
KE-000110,cattle,Boran,F,55,H00021,A00,1
KE-000111,cattle,Boran,F,66,H00021,A00,0
KE-000112,cattle,Sahiwal,F,25,H00021,A00,1
KE-000113,cattle,Sahiwal,F,67,H00022,A00,0
KE-000114,cattle,Friesian cross,F,114,H00022,A00,0
KE-000115,cattle,Ayrshire cross,F,8,H00022,A00,0
KE-000116,cattle,Ayrshire cross,F,9,H00022,A00,0
KE-000117,cattle,Boran,F,91,H00023,A00,0
KE-000118,cattle,Zebu,F,51,H00023,A00,1
KE-000119,cattle,Sahiwal,M,80,H00023,A00,1
KE-000120,cattle,Friesian cross,M,69,H00023,A00,0
KE-000121,cattle,Zebu,F,68,H00024,A00,0
KE-000122,cattle,Ayrshire cross,F,103,H00024,A00,0
KE-000123,cattle,Zebu,M,8,H00024,A00,1
KE-000124,cattle,Friesian cross,F,28,H00024,A00,0
KE-000125,cattle,Ayrshire cross,F,44,H00025,A00,0
KE-000126,cattle,Boran,M,51,H00025,A00,0
KE-000127,cattle,Friesian cross,F,80,H00025,A00,1
KE-000128,cattle,Friesian cross,F,110,H00025,A00,0
KE-000129,cattle,Ayrshire cross,M,113,H00025,A00,0
KE-000130,cattle,Ayrshire cross,F,82,H00025,A00,0
KE-000131,cattle,Sahiwal,F,9,H00026,A00,0
KE-000132,cattle,Ayrshire cross,M,32,H00026,A00,0
KE-000133,cattle,Zebu,M,107,H00026,A00,0
KE-000134,cattle,Zebu,F,94,H00026,A00,0
KE-000135,cattle,Zebu,M,28,H00026,A00,0
KE-000136,cattle,Ayrshire cross,M,108,H00026,A00,0
KE-000137,cattle,Zebu,M,32,H00027,A00,0
KE-000138,cattle,Boran,F,54,H00027,A00,1
KE-000139,cattle,Boran,F,38,H00027,A00,1
KE-000140,cattle,Sahiwal,M,62,H00027,A00,0
KE-000141,cattle,Friesian cross,F,65,H00027,A00,0
KE-000142,cattle,Friesian cross,M,29,H00027,A00,1
KE-000143,cattle,Friesian cross,M,87,H00028,A00,0
KE-000144,cattle,Zebu,F,104,H00028,A00,0
KE-000145,cattle,Zebu,M,89,H00028,A00,0
KE-000146,cattle,Boran,M,102,H00028,A00,0
KE-000147,cattle,Zebu,M,98,H00028,A00,0
KE-000148,cattle,Ayrshire cross,F,111,H00028,A00,0
KE-000149,cattle,Sahiwal,F,18,H00029,A00,0
KE-000150,cattle,Friesian cross,F,51,H00029,A00,1
KE-000151,cattle,Boran,M,62,H00029,A00,0
KE-000152,cattle,Friesian cross,F,13,H00029,A00,0
KE-000153,cattle,Zebu,F,76,H00029,A00,0
KE-000154,cattle,Sahiwal,F,59,H00029,A00,0
KE-000155,cattle,Boran,M,59,H00029,A00,0
KE-000156,cattle,Boran,M,44,H00029,A00,0
KE-000157,cattle,Zebu,F,23,H00029,A00,1
KE-000158,cattle,Friesian cross,F,90,H00029,A00,0
KE-000159,cattle,Boran,F,35,H00029,A00,0
KE-000160,cattle,Zebu,M,49,H00029,A00,0
KE-000161,cattle,Sahiwal,F,105,H00029,A00,0
KE-000162,cattle,Sahiwal,F,9,H00029,A00,0
KE-000163,cattle,Ayrshire cross,F,84,H00029,A00,0
KE-000164,cattle,Friesian cross,M,98,H00030,A00,0
KE-000165,cattle,Sahiwal,F,107,H00030,A00,1
KE-000166,cattle,Sahiwal,M,79,H00030,A00,1
KE-000167,cattle,Zebu,F,34,H00030,A00,0
KE-000168,cattle,Ayrshire cross,F,31,H00031,A00,0
KE-000169,cattle,Sahiwal,F,7,H00031,A00,0
KE-000170,cattle,Ayrshire cross,F,98,H00031,A00,0
KE-000171,cattle,Sahiwal,M,25,H00032,A00,0
KE-000172,cattle,Zebu,F,21,H00032,A00,0
KE-000173,cattle,Ayrshire cross,F,6,H00032,A00,0
KE-000174,cattle,Boran,F,44,H00033,A00,0
KE-000175,cattle,Friesian cross,F,26,H00033,A00,0
KE-000176,cattle,Boran,F,71,H00033,A00,0
KE-000177,cattle,Sahiwal,M,25,H00033,A00,0
KE-000178,cattle,Sahiwal,F,95,H00033,A00,1
KE-000179,cattle,Friesian cross,F,62,H00033,A00,1
KE-000180,cattle,Boran,M,88,H00034,A00,1
KE-000181,cattle,Sahiwal,M,106,H00034,A00,0
KE-000182,cattle,Sahiwal,M,85,H00034,A00,0
KE-000183,cattle,Sahiwal,M,80,H00034,A00,1
KE-000184,cattle,Sahiwal,F,41,H00034,A00,0
KE-000185,cattle,Sahiwal,M,56,H00034,A00,0
KE-000186,cattle,Ayrshire cross,F,118,H00034,A00,0
KE-000187,cattle,Zebu,F,107,H00034,A00,0
KE-000188,cattle,Friesian cross,F,46,H00034,A00,0
KE-000189,cattle,Boran,F,35,H00035,A00,1
KE-000190,cattle,Friesian cross,F,17,H00035,A00,0
KE-000191,cattle,Zebu,M,30,H00035,A00,0
KE-000192,cattle,Friesian cross,M,67,H00035,A00,0
KE-000193,cattle,Sahiwal,F,101,H00036,A00,0
KE-000194,cattle,Zebu,M,118,H00036,A00,0
KE-000195,cattle,Sahiwal,F,77,H00036,A00,0
KE-000196,cattle,Friesian cross,M,93,H00037,A00,0
KE-000197,cattle,Friesian cross,F,12,H00037,A00,1
KE-000198,cattle,Zebu,F,33,H00037,A00,0
KE-000199,cattle,Friesian cross,F,26,H00038,A00,1
KE-000200,cattle,Zebu,M,105,H00038,A00,1
KE-000201,cattle,Sahiwal,F,9,H00038,A00,1
KE-000202,cattle,Friesian cross,F,74,H00038,A00,0
KE-000203,cattle,Friesian cross,M,38,H00038,A00,1
KE-000204,cattle,Ayrshire cross,M,114,H00038,A00,0
KE-000205,cattle,Boran,F,59,H00039,A01,0
KE-000206,cattle,Sahiwal,F,89,H00039,A01,0
KE-000207,cattle,Sahiwal,M,58,H00039,A01,0
KE-000208,cattle,Zebu,F,79,H00039,A01,1
KE-000209,cattle,Sahiwal,F,48,H00039,A01,0
KE-000210,cattle,Zebu,F,55,H00039,A01,1
KE-000211,cattle,Friesian cross,F,29,H00039,A01,1
KE-000212,cattle,Sahiwal,M,13,H00039,A01,0
KE-000213,cattle,Friesian cross,F,49,H00039,A01,0
KE-000214,cattle,Sahiwal,M,42,H00039,A01,0
KE-000215,cattle,Sahiwal,F,81,H00039,A01,0
KE-000216,cattle,Boran,F,58,H00039,A01,0
KE-000217,cattle,Zebu,F,42,H00039,A01,0
KE-000218,cattle,Ayrshire cross,F,20,H00039,A01,0
KE-000219,cattle,Zebu,F,112,H00039,A01,0
KE-000220,cattle,Ayrshire cross,F,58,H00039,A01,1
KE-000221,cattle,Ayrshire cross,F,19,H00039,A01,1
KE-000222,cattle,Boran,F,51,H00039,A01,1
KE-000223,cattle,Boran,F,24,H00040,A01,0
KE-000224,cattle,Zebu,F,43,H00040,A01,1
KE-000225,cattle,Sahiwal,M,8,H00040,A01,1
KE-000226,cattle,Friesian cross,F,20,H00040,A01,0
KE-000227,cattle,Sahiwal,F,76,H00040,A01,0
KE-000228,cattle,Friesian cross,M,16,H00040,A01,1
KE-000229,cattle,Ayrshire cross,F,77,H00040,A01,0
KE-000230,cattle,Sahiwal,F,112,H00040,A01,0
KE-000231,cattle,Sahiwal,F,49,H00040,A01,0
KE-000232,cattle,Sahiwal,M,12,H00040,A01,0
KE-000233,cattle,Friesian cross,F,86,H00040,A01,0
KE-000234,cattle,Boran,F,82,H00040,A01,1
KE-000235,cattle,Ayrshire cross,M,33,H00040,A01,1
KE-000236,cattle,Zebu,M,86,H00040,A01,1
KE-000237,cattle,Ayrshire cross,M,24,H00040,A01,1
KE-000238,cattle,Boran,M,73,H00040,A01,0
KE-000239,cattle,Sahiwal,M,47,H00041,A01,0
KE-000240,cattle,Sahiwal,F,29,H00041,A01,0
KE-000241,cattle,Ayrshire cross,F,82,H00041,A01,1
KE-000242,cattle,Friesian cross,F,15,H00041,A01,1
KE-000243,cattle,Boran,F,118,H00041,A01,0
KE-000244,cattle,Ayrshire cross,F,25,H00041,A01,0
KE-000245,cattle,Boran,M,42,H00041,A01,0
KE-000246,cattle,Friesian cross,F,105,H00041,A01,0
KE-000247,cattle,Boran,M,22,H00042,A01,0
KE-000248,cattle,Boran,F,44,H00042,A01,1
KE-000249,cattle,Zebu,M,34,H00042,A01,0
KE-000250,cattle,Friesian cross,F,116,H00042,A01,0
KE-000251,cattle,Boran,F,35,H00042,A01,1
KE-000252,cattle,Ayrshire cross,F,38,H00042,A01,1
KE-000253,cattle,Zebu,M,59,H00042,A01,1
KE-000254,cattle,Zebu,F,112,H00042,A01,0
KE-000255,cattle,Boran,M,80,H00042,A01,0
KE-000256,cattle,Friesian cross,F,105,H00042,A01,1
KE-000257,cattle,Friesian cross,F,17,H00042,A01,1
KE-000258,cattle,Friesian cross,F,33,H00042,A01,0
KE-000259,cattle,Ayrshire cross,F,24,H00042,A01,0
KE-000260,cattle,Ayrshire cross,F,99,H00043,A01,0
KE-000261,cattle,Ayrshire cross,F,70,H00043,A01,0
KE-000262,cattle,Boran,M,29,H00043,A01,1
KE-000263,cattle,Friesian cross,F,100,H00043,A01,1
KE-000264,cattle,Zebu,F,91,H00043,A01,0
KE-000265,cattle,Friesian cross,F,73,H00043,A01,1
KE-000266,cattle,Friesian cross,F,91,H00043,A01,0
KE-000267,cattle,Sahiwal,M,92,H00043,A01,1
KE-000268,cattle,Ayrshire cross,M,86,H00043,A01,1
KE-000269,cattle,Sahiwal,F,43,H00043,A01,0
KE-000270,cattle,Zebu,F,90,H00043,A01,0
KE-000271,cattle,Boran,F,41,H00043,A01,1
KE-000272,cattle,Ayrshire cross,F,104,H00044,A01,0
KE-000273,cattle,Sahiwal,F,96,H00044,A01,1
KE-000274,cattle,Zebu,M,32,H00044,A01,0
KE-000275,cattle,Friesian cross,F,76,H00044,A01,1
KE-000276,cattle,Sahiwal,F,78,H00044,A01,0
KE-000277,cattle,Friesian cross,F,93,H00044,A01,0
KE-000278,cattle,Zebu,F,117,H00044,A01,0
KE-000279,cattle,Friesian cross,F,110,H00044,A01,0
KE-000280,cattle,Sahiwal,F,17,H00044,A01,0
KE-000281,cattle,Friesian cross,F,76,H00044,A01,0
KE-000282,cattle,Boran,F,23,H00044,A01,1
KE-000283,cattle,Zebu,F,74,H00044,A01,1
KE-000284,cattle,Boran,F,106,H00044,A01,0
KE-000285,cattle,Ayrshire cross,F,52,H00045,A01,0
KE-000286,cattle,Boran,F,57,H00045,A01,0
KE-000287,cattle,Boran,M,98,H00045,A01,0
KE-000288,cattle,Boran,F,109,H00045,A01,0
KE-000289,cattle,Boran,F,75,H00045,A01,1
KE-000290,cattle,Zebu,M,18,H00045,A01,0
KE-000291,cattle,Ayrshire cross,F,92,H00045,A01,1
KE-000292,cattle,Sahiwal,F,57,H00045,A01,0
KE-000293,cattle,Zebu,M,105,H00045,A01,0
KE-000294,cattle,Zebu,F,115,H00045,A01,1
KE-000295,cattle,Zebu,F,15,H00045,A01,1
KE-000296,cattle,Boran,M,25,H00045,A01,1
KE-000297,cattle,Boran,M,115,H00045,A01,0
KE-000298,cattle,Boran,F,83,H00045,A01,0
KE-000299,cattle,Sahiwal,M,27,H00045,A01,1
KE-000300,cattle,Friesian cross,M,35,H00045,A01,0
KE-000301,cattle,Boran,F,57,H00045,A01,1
KE-000302,cattle,Friesian cross,F,82,H00045,A01,1
KE-000303,cattle,Friesian cross,F,24,H00045,A01,1
KE-000304,cattle,Friesian cross,F,57,H00046,A01,1
KE-000305,cattle,Zebu,F,67,H00046,A01,0
KE-000306,cattle,Friesian cross,F,113,H00046,A01,0
KE-000307,cattle,Sahiwal,F,17,H00046,A01,0
KE-000308,cattle,Sahiwal,M,92,H00046,A01,1
KE-000309,cattle,Boran,F,94,H00046,A01,1
KE-000310,cattle,Sahiwal,M,25,H00046,A01,1
KE-000311,cattle,Zebu,F,100,H00046,A01,0
KE-000312,cattle,Boran,M,87,H00046,A01,1
KE-000313,cattle,Zebu,F,6,H00046,A01,0
KE-000314,cattle,Ayrshire cross,F,20,H00046,A01,1
KE-000315,cattle,Boran,F,14,H00046,A01,0
KE-000316,cattle,Sahiwal,M,41,H00046,A01,0
KE-000317,cattle,Ayrshire cross,M,22,H00047,A01,0
KE-000318,cattle,Boran,F,84,H00047,A01,1
KE-000319,cattle,Sahiwal,F,14,H00047,A01,0
KE-000320,cattle,Friesian cross,M,82,H00047,A01,0
KE-000321,cattle,Sahiwal,F,83,H00047,A01,0
KE-000322,cattle,Friesian cross,F,47,H00047,A01,0
KE-000323,cattle,Friesian cross,F,112,H00047,A01,0
KE-000324,cattle,Ayrshire cross,F,25,H00047,A01,1
KE-000325,cattle,Ayrshire cross,M,88,H00047,A01,1
KE-000326,cattle,Sahiwal,F,38,H00047,A01,1
KE-000327,cattle,Zebu,M,69,H00047,A01,0
KE-000328,cattle,Friesian cross,F,50,H00047,A01,1
KE-000329,cattle,Sahiwal,M,23,H00047,A01,0
KE-000330,cattle,Zebu,M,111,H00047,A01,0
KE-000331,cattle,Sahiwal,F,111,H00047,A01,1
KE-000332,cattle,Zebu,F,13,H00047,A01,1
KE-000333,cattle,Friesian cross,M,46,H00047,A01,0
KE-000334,cattle,Ayrshire cross,F,73,H00048,A01,0
KE-000335,cattle,Zebu,F,46,H00048,A01,1
KE-000336,cattle,Boran,F,43,H00048,A01,0
KE-000337,cattle,Boran,M,92,H00048,A01,1
KE-000338,cattle,Friesian cross,M,98,H00048,A01,1
KE-000339,cattle,Zebu,F,79,H00048,A01,0
KE-000340,cattle,Zebu,F,18,H00048,A01,1
KE-000341,cattle,Sahiwal,F,24,H00048,A01,0
KE-000342,cattle,Zebu,F,38,H00048,A01,1
KE-000343,cattle,Friesian cross,F,108,H00048,A01,0
KE-000344,cattle,Friesian cross,F,40,H00048,A01,0
KE-000345,cattle,Zebu,M,45,H00048,A01,0
KE-000346,cattle,Zebu,M,59,H00049,A01,0
KE-000347,cattle,Sahiwal,F,36,H00049,A01,1
KE-000348,cattle,Zebu,F,97,H00049,A01,1
KE-000349,cattle,Zebu,F,70,H00049,A01,1
KE-000350,cattle,Boran,F,85,H00049,A01,0
KE-000351,cattle,Ayrshire cross,F,44,H00049,A01,1
KE-000352,cattle,Ayrshire cross,M,93,H00049,A01,1
KE-000353,cattle,Ayrshire cross,F,115,H00049,A01,0
KE-000354,cattle,Friesian cross,M,86,H00049,A01,0
KE-000355,cattle,Boran,F,61,H00049,A01,1
KE-000356,cattle,Ayrshire cross,M,17,H00049,A01,1
KE-000357,cattle,Boran,F,37,H00049,A01,1
KE-000358,cattle,Ayrshire cross,F,78,H00049,A01,0
KE-000359,cattle,Boran,F,16,H00049,A01,0
KE-000360,cattle,Friesian cross,F,88,H00050,A01,0
KE-000361,cattle,Zebu,M,61,H00050,A01,0
KE-000362,cattle,Ayrshire cross,F,62,H00050,A01,1
KE-000363,cattle,Boran,F,113,H00050,A01,1
KE-000364,cattle,Ayrshire cross,M,119,H00050,A01,1
KE-000365,cattle,Ayrshire cross,F,13,H00050,A01,0
KE-000366,cattle,Zebu,M,14,H00050,A01,0
KE-000367,cattle,Sahiwal,F,68,H00050,A01,1
KE-000368,cattle,Sahiwal,M,13,H00050,A01,1
KE-000369,cattle,Boran,F,15,H00050,A01,1
KE-000370,cattle,Ayrshire cross,M,55,H00050,A01,0
KE-000371,cattle,Sahiwal,M,74,H00050,A01,0
KE-000372,cattle,Boran,F,102,H00050,A01,1
KE-000373,cattle,Boran,F,113,H00050,A01,1
KE-000374,cattle,Boran,F,33,H00050,A01,0
KE-000375,cattle,Zebu,M,65,H00050,A01,1
KE-000376,cattle,Ayrshire cross,F,65,H00050,A01,0
KE-000377,cattle,Zebu,F,23,H00051,A01,0
KE-000378,cattle,Sahiwal,M,82,H00051,A01,0
KE-000379,cattle,Ayrshire cross,F,94,H00051,A01,1
KE-000380,cattle,Sahiwal,F,19,H00051,A01,1
KE-000381,cattle,Zebu,F,62,H00051,A01,0
KE-000382,cattle,Ayrshire cross,M,60,H00052,A01,0
KE-000383,cattle,Ayrshire cross,F,42,H00052,A01,0
KE-000384,cattle,Ayrshire cross,F,73,H00052,A01,1
KE-000385,cattle,Sahiwal,F,85,H00052,A01,1
KE-000386,cattle,Zebu,M,56,H00052,A01,1
KE-000387,cattle,Ayrshire cross,F,103,H00052,A01,0
KE-000388,cattle,Friesian cross,F,54,H00052,A01,0
KE-000389,cattle,Sahiwal,M,57,H00052,A01,1
KE-000390,cattle,Boran,M,104,H00052,A01,0
KE-000391,cattle,Sahiwal,M,29,H00052,A01,0
KE-000392,cattle,Ayrshire cross,F,113,H00053,A01,1
KE-000393,cattle,Ayrshire cross,M,21,H00053,A01,0
KE-000394,cattle,Friesian cross,M,9,H00053,A01,0
KE-000395,cattle,Ayrshire cross,F,14,H00053,A01,0
KE-000396,cattle,Sahiwal,F,79,H00053,A01,0
KE-000397,cattle,Sahiwal,M,65,H00053,A01,0
KE-000398,cattle,Ayrshire cross,F,98,H00053,A01,1
KE-000399,cattle,Ayrshire cross,F,63,H00053,A01,0
KE-000400,cattle,Ayrshire cross,F,21,H00053,A01,1
KE-000401,cattle,Sahiwal,F,40,H00054,A01,0
KE-000402,cattle,Boran,F,95,H00054,A01,0
KE-000403,cattle,Zebu,F,104,H00054,A01,0
KE-000404,cattle,Boran,F,51,H00054,A01,0
KE-000405,cattle,Friesian cross,M,15,H00054,A01,0
KE-000406,cattle,Sahiwal,F,99,H00054,A01,0
KE-000407,cattle,Ayrshire cross,F,118,H00054,A01,1
KE-000408,cattle,Boran,F,70,H00054,A01,1
KE-000409,cattle,Sahiwal,F,6,H00055,A01,1
KE-000410,cattle,Friesian cross,F,27,H00055,A01,0
KE-000411,cattle,Boran,F,106,H00055,A01,0
KE-000412,cattle,Friesian cross,F,92,H00055,A01,0
KE-000413,cattle,Boran,F,84,H00055,A01,1
KE-000414,cattle,Boran,M,10,H00055,A01,0
KE-000415,cattle,Zebu,M,112,H00055,A01,1
KE-000416,cattle,Boran,F,96,H00055,A01,0
KE-000417,cattle,Zebu,F,6,H00055,A01,0
KE-000418,cattle,Boran,F,96,H00055,A01,1
KE-000419,cattle,Sahiwal,M,41,H00056,A01,0
KE-000420,cattle,Sahiwal,F,56,H00056,A01,0
KE-000421,cattle,Zebu,F,69,H00056,A01,0
KE-000422,cattle,Sahiwal,M,109,H00056,A01,0
KE-000423,cattle,Zebu,M,56,H00056,A01,0
KE-000424,cattle,Ayrshire cross,M,70,H00056,A01,0
KE-000425,cattle,Zebu,M,83,H00056,A01,1
KE-000426,cattle,Friesian cross,F,62,H00056,A01,1
KE-000427,cattle,Ayrshire cross,F,103,H00056,A01,1
KE-000428,cattle,Sahiwal,M,99,H00056,A01,0
KE-000429,cattle,Zebu,M,50,H00056,A01,0
KE-000430,cattle,Ayrshire cross,F,71,H00056,A01,0
KE-000431,cattle,Ayrshire cross,F,87,H00056,A01,0
KE-000432,cattle,Sahiwal,M,98,H00056,A01,1
KE-000433,cattle,Sahiwal,M,115,H00056,A01,0
KE-000434,cattle,Zebu,M,116,H00056,A01,0
KE-000435,cattle,Ayrshire cross,F,75,H00056,A01,0
KE-000436,cattle,Ayrshire cross,F,93,H00056,A01,0
KE-000437,cattle,Ayrshire cross,F,18,H00056,A01,0
KE-000438,cattle,Ayrshire cross,F,55,H00056,A01,1
KE-000439,cattle,Zebu,F,101,H00056,A01,1
KE-000440,cattle,Ayrshire cross,F,7,H00056,A01,1
KE-000441,cattle,Friesian cross,M,86,H00056,A01,1
KE-000442,cattle,Friesian cross,F,73,H00056,A01,1
KE-000443,cattle,Zebu,F,107,H00056,A01,0
KE-000444,cattle,Sahiwal,F,31,H00056,A01,0
KE-000445,cattle,Sahiwal,M,60,H00056,A01,1
KE-000446,cattle,Zebu,M,103,H00056,A01,0
KE-000447,cattle,Zebu,F,45,H00057,A01,1
KE-000448,cattle,Boran,F,97,H00057,A01,0
KE-000449,cattle,Sahiwal,F,76,H00057,A01,0
KE-000450,cattle,Friesian cross,M,63,H00057,A01,1
KE-000451,cattle,Zebu,M,116,H00057,A01,0
KE-000452,cattle,Boran,M,61,H00057,A01,1
KE-000453,cattle,Boran,F,92,H00057,A01,1
KE-000454,cattle,Ayrshire cross,F,56,H00058,A01,0
KE-000455,cattle,Boran,F,99,H00058,A01,0
KE-000456,cattle,Boran,M,14,H00058,A01,0
KE-000457,cattle,Friesian cross,M,51,H00058,A01,0
KE-000458,cattle,Ayrshire cross,F,97,H00058,A01,0
KE-000459,cattle,Friesian cross,F,94,H00058,A01,0
KE-000460,cattle,Boran,M,43,H00058,A01,1
KE-000461,cattle,Zebu,M,11,H00058,A01,0
KE-000462,cattle,Friesian cross,M,106,H00058,A01,0
KE-000463,cattle,Friesian cross,F,38,H00058,A01,0
KE-000464,cattle,Ayrshire cross,M,31,H00058,A01,1
KE-000465,cattle,Sahiwal,F,22,H00058,A01,1
KE-000466,cattle,Zebu,M,31,H00058,A01,1
KE-000467,cattle,Sahiwal,M,76,H00058,A01,0
KE-000468,cattle,Sahiwal,F,85,H00058,A01,1
KE-000469,cattle,Ayrshire cross,M,42,H00058,A01,0
KE-000470,cattle,Zebu,F,37,H00058,A01,0
KE-000471,cattle,Sahiwal,F,82,H00058,A01,0
KE-000472,cattle,Zebu,F,82,H00058,A01,1
