week,from_holding,to_holding,from_area,to_area,n_animals,permit_recorded,date
1,H00712,H00735,16,16,18,0,2023-01-09
1,H00734,H00314,16,7,14,0,2023-01-09
1,H00736,H00233,16,5,4,1,2023-01-09
1,H00746,H00748,17,17,24,1,2023-01-09
1,H00759,H00773,17,17,7,1,2023-01-09
1,H00766,H00692,17,15,2,1,2023-01-09
1,H00767,H00979,17,24,6,0,2023-01-09
1,H00777,H00797,18,18,15,1,2023-01-09
1,H00778,H00880,18,21,5,1,2023-01-09
1,H00780,H00779,18,18,9,1,2023-01-09
1,H00794,H00805,18,18,24,1,2023-01-09
1,H00795,H00135,18,2,14,1,2023-01-09
1,H00796,H00296,18,6,6,0,2023-01-09
1,H00813,H00791,19,18,2,1,2023-01-09
1,H00819,H00787,19,18,15,1,2023-01-09
1,H00821,H00839,19,19,23,0,2023-01-09
1,H00824,H00833,19,19,23,1,2023-01-09
1,H00825,H00817,19,19,11,0,2023-01-09
1,H00854,H00872,20,20,15,0,2023-01-09
1,H00872,H00872,20,20,23,1,2023-01-09
1,H00875,H00897,21,21,18,0,2023-01-09
1,H00882,H00901,21,21,16,0,2023-01-09
1,H00887,H00924,21,22,7,1,2023-01-09
1,H00893,H00876,21,21,3,0,2023-01-09
1,H00900,H00878,21,21,8,1,2023-01-09
1,H00931,H00953,23,23,9,0,2023-01-09
1,H00937,H00962,23,23,7,1,2023-01-09
1,H00962,H00213,23,4,13,1,2023-01-09
1,H00969,H00977,24,24,22,0,2023-01-09
1,H01004,H00892,25,21,6,1,2023-01-09
1,H01012,H01011,25,25,11,1,2023-01-09
1,H01017,H00999,25,25,7,1,2023-01-09
2,H00012,H00007,0,0,17,1,2023-01-16
2,H00015,H00016,0,0,9,1,2023-01-16
2,H00030,H00107,0,2,9,0,2023-01-16
2,H00038,H00015,0,0,21,0,2023-01-16
2,H00047,H00796,1,18,11,1,2023-01-16
2,H00069,H00073,1,1,2,1,2023-01-16
2,H00076,H00069,1,1,13,1,2023-01-16
2,H00077,H00001,1,0,9,1,2023-01-16
2,H00084,H00234,1,5,18,1,2023-01-16
2,H00087,H00057,1,1,24,1,2023-01-16
2,H00093,H00087,1,1,2,1,2023-01-16
2,H00099,H00131,2,2,5,1,2023-01-16
2,H00101,H00030,2,0,4,0,2023-01-16
2,H00106,H00126,2,2,22,1,2023-01-16
2,H00116,H00682,2,15,5,0,2023-01-16
2,H00117,H00588,2,13,5,1,2023-01-16
2,H00122,H00110,2,2,24,1,2023-01-16
2,H00123,H00104,2,2,22,1,2023-01-16
2,H00131,H00101,2,2,8,0,2023-01-16
2,H00135,H00119,2,2,12,1,2023-01-16
2,H00150,H00177,3,3,7,1,2023-01-16
2,H00152,H00017,3,0,8,1,2023-01-16
2,H00153,H00176,3,3,18,1,2023-01-16
2,H00167,H00458,3,10,21,0,2023-01-16
2,H00180,H00159,3,3,24,0,2023-01-16
2,H00186,H00176,3,3,5,1,2023-01-16
2,H00191,H00245,4,5,17,1,2023-01-16
2,H00192,H00190,4,4,6,1,2023-01-16
2,H00206,H00189,4,4,20,1,2023-01-16
2,H00212,H00610,4,13,19,1,2023-01-16
2,H00213,H00809,4,18,18,1,2023-01-16
2,H00221,H00031,4,0,3,0,2023-01-16
2,H00227,H00054,4,1,3,0,2023-01-16
2,H00233,H00237,5,5,2,0,2023-01-16
2,H00236,H00332,5,7,14,1,2023-01-16
2,H00258,H00241,5,5,19,0,2023-01-16
2,H00262,H00233,5,5,8,1,2023-01-16
2,H00265,H00282,6,6,8,1,2023-01-16
2,H00284,H00117,6,2,17,1,2023-01-16
2,H00295,H00802,6,18,10,1,2023-01-16
2,H00303,H00032,6,0,7,1,2023-01-16
2,H00310,H00003,7,0,13,1,2023-01-16
2,H00318,H00254,7,5,22,0,2023-01-16
2,H00332,H00335,7,7,10,0,2023-01-16
2,H00340,H00254,7,5,9,1,2023-01-16
2,H00358,H00352,8,8,3,1,2023-01-16
2,H00365,H00378,8,8,21,0,2023-01-16
2,H00372,H00285,8,6,16,1,2023-01-16
2,H00374,H00176,8,3,13,0,2023-01-16
2,H00383,H00232,9,5,18,1,2023-01-16
2,H00397,H00404,9,9,2,1,2023-01-16
2,H00400,H00264,9,5,2,0,2023-01-16
2,H00407,H00393,9,9,11,1,2023-01-16
2,H00423,H00462,10,10,12,0,2023-01-16
2,H00427,H00156,10,3,13,1,2023-01-16
2,H00436,H00179,10,3,8,0,2023-01-16
2,H00447,H00420,10,10,4,1,2023-01-16
2,H00475,H00488,11,11,24,1,2023-01-16
2,H00493,H00491,11,11,15,1,2023-01-16
2,H00505,H00512,11,11,21,1,2023-01-16
2,H00508,H00659,11,14,3,0,2023-01-16
2,H00519,H00647,12,14,15,1,2023-01-16
2,H00520,H00564,12,12,18,1,2023-01-16
2,H00536,H00547,12,12,13,1,2023-01-16
2,H00540,H00661,12,14,21,1,2023-01-16
2,H00552,H00559,12,12,21,1,2023-01-16
2,H00571,H00651,12,14,9,1,2023-01-16
2,H00572,H00100,12,2,21,1,2023-01-16
2,H00594,H00624,13,13,18,1,2023-01-16
2,H00603,H00593,13,13,24,0,2023-01-16
2,H00604,H00592,13,13,21,1,2023-01-16
2,H00610,H00599,13,13,6,1,2023-01-16
2,H00612,H00614,13,13,12,0,2023-01-16
2,H00624,H00615,13,13,15,0,2023-01-16
2,H00628,H00273,14,6,22,1,2023-01-16
2,H00665,H00689,15,15,9,1,2023-01-16
2,H00706,H00637,16,14,13,0,2023-01-16
2,H00731,H00734,16,16,10,0,2023-01-16
2,H00774,H00759,18,17,6,1,2023-01-16
2,H00776,H00802,18,18,11,1,2023-01-16
2,H00781,H00687,18,15,11,1,2023-01-16
2,H00799,H00786,18,18,12,0,2023-01-16
2,H00801,H00779,18,18,21,1,2023-01-16
2,H00806,H00809,18,18,24,1,2023-01-16
2,H00817,H00820,19,19,16,1,2023-01-16
2,H00828,H00821,19,19,2,1,2023-01-16
2,H00833,H00816,19,19,7,0,2023-01-16
2,H00848,H00303,20,6,9,1,2023-01-16
2,H00852,H00860,20,20,7,0,2023-01-16
2,H00860,H00862,20,20,13,0,2023-01-16
2,H00871,H00599,20,13,6,0,2023-01-16
2,H00875,H00885,21,21,17,0,2023-01-16
2,H00886,H00880,21,21,7,1,2023-01-16
2,H00889,H00896,21,21,13,0,2023-01-16
2,H00901,H00971,21,24,24,0,2023-01-16
2,H00918,H00906,22,22,11,0,2023-01-16
2,H00927,H00909,22,22,6,1,2023-01-16
2,H00935,H00941,23,23,9,0,2023-01-16
2,H00937,H00955,23,23,14,1,2023-01-16
2,H00946,H00956,23,23,6,1,2023-01-16
2,H00960,H00947,23,23,17,1,2023-01-16
2,H00969,H00842,24,20,11,1,2023-01-16
2,H00973,H00969,24,24,18,0,2023-01-16
2,H00979,H00912,24,22,12,0,2023-01-16
2,H00985,H00968,24,24,16,1,2023-01-16
2,H00988,H00019,24,0,6,1,2023-01-16
2,H01013,H00868,25,20,10,1,2023-01-16
3,H00013,H00016,0,0,22,1,2023-01-23
3,H00018,H00010,0,0,9,1,2023-01-23
3,H00020,H00015,0,0,3,1,2023-01-23
3,H00029,H00010,0,0,16,1,2023-01-23
3,H00034,H00030,0,0,6,1,2023-01-23
3,H00053,H00064,1,1,5,1,2023-01-23
3,H00054,H00405,1,9,8,0,2023-01-23
3,H00057,H00270,1,6,6,1,2023-01-23
3,H00065,H00076,1,1,7,0,2023-01-23
3,H00078,H00098,1,1,5,1,2023-01-23
3,H00083,H00073,1,1,12,1,2023-01-23
3,H00093,H00053,1,1,8,1,2023-01-23
3,H00099,H00664,2,14,15,1,2023-01-23
3,H00100,H00688,2,15,13,1,2023-01-23
3,H00102,H00012,2,0,19,1,2023-01-23
3,H00105,H00132,2,2,19,0,2023-01-23
3,H00133,H00110,2,2,20,0,2023-01-23
3,H00136,H00140,2,2,24,1,2023-01-23
3,H00148,H00159,3,3,21,1,2023-01-23
3,H00161,H00002,3,0,4,1,2023-01-23
3,H00163,H00664,3,14,11,1,2023-01-23
3,H00175,H00182,3,3,10,0,2023-01-23
3,H00180,H00000,3,0,11,0,2023-01-23
3,H00193,H00208,4,4,11,0,2023-01-23
3,H00238,H00251,5,5,2,1,2023-01-23
3,H00244,H00205,5,4,20,1,2023-01-23
3,H00247,H00261,5,5,19,1,2023-01-23
3,H00248,H00232,5,5,4,0,2023-01-23
3,H00249,H00257,5,5,20,1,2023-01-23
3,H00265,H00284,6,6,8,1,2023-01-23
3,H00270,H00023,6,0,22,1,2023-01-23
3,H00275,H00302,6,6,3,0,2023-01-23
3,H00276,H00265,6,6,15,0,2023-01-23
3,H00283,H00110,6,2,20,1,2023-01-23
3,H00289,H00284,6,6,13,0,2023-01-23
3,H00304,H00272,6,6,19,0,2023-01-23
3,H00306,H00267,6,6,9,0,2023-01-23
3,H00342,H00339,7,7,5,1,2023-01-23
3,H00353,H00143,8,3,7,1,2023-01-23
3,H00368,H00362,8,8,24,1,2023-01-23
3,H00374,H00419,8,10,10,0,2023-01-23
3,H00379,H00646,9,14,18,1,2023-01-23
3,H00394,H00064,9,1,19,1,2023-01-23
3,H00397,H00386,9,9,22,0,2023-01-23
3,H00401,H00393,9,9,18,0,2023-01-23
3,H00408,H00799,9,18,20,0,2023-01-23
3,H00415,H00457,10,10,12,0,2023-01-23
3,H00428,H00121,10,2,6,1,2023-01-23
3,H00429,H00670,10,15,15,1,2023-01-23
3,H00430,H00449,10,10,21,1,2023-01-23
3,H00437,H00417,10,10,8,0,2023-01-23
3,H00442,H00456,10,10,5,1,2023-01-23
3,H00445,H00279,10,6,12,1,2023-01-23
3,H00452,H00436,10,10,20,0,2023-01-23
3,H00476,H00512,11,11,22,1,2023-01-23
3,H00487,H00027,11,0,9,0,2023-01-23
3,H00499,H00638,11,14,17,0,2023-01-23
3,H00504,H00254,11,5,12,0,2023-01-23
3,H00521,H00537,12,12,22,1,2023-01-23
3,H00522,H00577,12,12,6,0,2023-01-23
3,H00523,H00561,12,12,21,1,2023-01-23
3,H00535,H00572,12,12,20,1,2023-01-23
3,H00539,H00042,12,1,13,1,2023-01-23
3,H00542,H00080,12,1,9,0,2023-01-23
3,H00572,H00635,12,14,21,1,2023-01-23
3,H00573,H00518,12,12,21,0,2023-01-23
3,H00578,H00664,13,14,22,1,2023-01-23
3,H00600,H00603,13,13,24,1,2023-01-23
3,H00601,H00611,13,13,13,0,2023-01-23
3,H00603,H00645,13,14,3,1,2023-01-23
3,H00623,H00622,13,13,22,1,2023-01-23
3,H00641,H00544,14,12,16,1,2023-01-23
3,H00660,H00558,14,12,4,1,2023-01-23
3,H00662,H00664,14,14,9,0,2023-01-23
3,H00667,H00677,15,15,21,1,2023-01-23
3,H00678,H00237,15,5,14,1,2023-01-23
3,H00689,H00293,15,6,20,1,2023-01-23
3,H00696,H00770,15,17,15,0,2023-01-23
3,H00706,H00708,16,16,16,1,2023-01-23
3,H00733,H00026,16,0,11,0,2023-01-23
3,H00736,H00738,16,16,7,1,2023-01-23
3,H00738,H00299,16,6,10,0,2023-01-23
3,H00740,H00034,17,0,14,1,2023-01-23
3,H00745,H00676,17,15,11,1,2023-01-23
3,H00766,H00747,17,17,5,0,2023-01-23
3,H00774,H00795,18,18,15,1,2023-01-23
3,H00783,H00803,18,18,6,1,2023-01-23
3,H00799,H00120,18,2,20,1,2023-01-23
3,H00804,H00782,18,18,14,1,2023-01-23
3,H00808,H00774,18,18,19,1,2023-01-23
3,H00820,H00829,19,19,23,1,2023-01-23
3,H00840,H00825,19,19,10,1,2023-01-23
3,H00843,H01000,20,25,9,0,2023-01-23
3,H00853,H00850,20,20,24,0,2023-01-23
3,H00855,H00859,20,20,15,0,2023-01-23
3,H00864,H00872,20,20,10,0,2023-01-23
3,H00892,H00897,21,21,4,1,2023-01-23
3,H00894,H00786,21,18,13,1,2023-01-23
3,H00904,H00905,22,22,16,1,2023-01-23
3,H00907,H00865,22,20,17,1,2023-01-23
3,H00947,H00135,23,2,22,1,2023-01-23
3,H00955,H00932,23,23,14,1,2023-01-23
3,H00968,H00968,24,24,20,0,2023-01-23
3,H00989,H00978,25,24,12,1,2023-01-23
3,H00992,H00573,25,12,6,1,2023-01-23
3,H00996,H01015,25,25,9,1,2023-01-23
3,H00998,H01016,25,25,19,0,2023-01-23
3,H01002,H01003,25,25,5,1,2023-01-23
3,H01003,H01020,25,25,10,0,2023-01-23
3,H01009,H00577,25,12,17,0,2023-01-23
3,H01016,H00727,25,16,19,0,2023-01-23
4,H00000,H00005,0,0,17,1,2023-01-30
4,H00002,H00300,0,6,2,1,2023-01-30
4,H00006,H00304,0,6,23,0,2023-01-30
4,H00014,H00004,0,0,3,1,2023-01-30
4,H00016,H00437,0,10,8,0,2023-01-30
4,H00018,H00020,0,0,20,0,2023-01-30
4,H00020,H00015,0,0,7,1,2023-01-30
4,H00038,H00263,0,5,21,1,2023-01-30
4,H00046,H00061,1,1,22,1,2023-01-30
4,H00049,H00145,1,3,4,1,2023-01-30
4,H00052,H00071,1,1,18,1,2023-01-30
4,H00065,H00091,1,1,4,0,2023-01-30
4,H00069,H00291,1,6,24,1,2023-01-30
4,H00071,H00050,1,1,13,1,2023-01-30
4,H00076,H00471,1,11,4,0,2023-01-30
4,H00080,H00057,1,1,17,1,2023-01-30
4,H00084,H00027,1,0,23,0,2023-01-30
4,H00085,H00060,1,1,13,0,2023-01-30
4,H00091,H00061,1,1,14,1,2023-01-30
4,H00093,H00277,1,6,6,0,2023-01-30
4,H00099,H00128,2,2,5,0,2023-01-30
4,H00104,H00142,2,2,4,1,2023-01-30
4,H00106,H00007,2,0,13,1,2023-01-30
4,H00112,H00107,2,2,9,1,2023-01-30
4,H00119,H00446,2,10,21,0,2023-01-30
4,H00134,H00437,2,10,9,0,2023-01-30
4,H00135,H00102,2,2,8,1,2023-01-30
4,H00138,H00102,2,2,12,0,2023-01-30
4,H00146,H00180,3,3,8,1,2023-01-30
4,H00151,H00220,3,4,12,0,2023-01-30
4,H00155,H00240,3,5,16,1,2023-01-30
4,H00162,H00295,3,6,18,1,2023-01-30
4,H00170,H00122,3,2,12,0,2023-01-30
4,H00207,H00143,4,3,22,1,2023-01-30
4,H00208,H00189,4,4,5,1,2023-01-30
4,H00211,H00003,4,0,23,1,2023-01-30
4,H00213,H00023,4,0,16,0,2023-01-30
4,H00230,H00200,4,4,10,0,2023-01-30
4,H00232,H00133,5,2,17,1,2023-01-30
4,H00237,H00297,5,6,11,0,2023-01-30
4,H00240,H00248,5,5,13,0,2023-01-30
4,H00242,H00250,5,5,11,0,2023-01-30
4,H00245,H00858,5,20,17,1,2023-01-30
4,H00249,H00254,5,5,4,0,2023-01-30
4,H00251,H00239,5,5,14,1,2023-01-30
4,H00256,H00241,5,5,8,0,2023-01-30
4,H00257,H00232,5,5,24,0,2023-01-30
4,H00260,H00250,5,5,21,1,2023-01-30
4,H00263,H00237,5,5,9,0,2023-01-30
4,H00265,H00139,6,2,18,1,2023-01-30
4,H00273,H00310,6,7,20,0,2023-01-30
4,H00303,H00299,6,6,20,1,2023-01-30
4,H00305,H00420,6,10,9,1,2023-01-30
4,H00312,H00654,7,14,21,0,2023-01-30
4,H00315,H00316,7,7,9,0,2023-01-30
4,H00343,H00334,7,7,18,1,2023-01-30
4,H00344,H00349,8,8,15,0,2023-01-30
4,H00356,H00113,8,2,20,1,2023-01-30
4,H00374,H00282,8,6,11,0,2023-01-30
4,H00379,H00400,9,9,13,1,2023-01-30
4,H00384,H00398,9,9,22,1,2023-01-30
4,H00386,H00391,9,9,19,1,2023-01-30
4,H00389,H00282,9,6,8,1,2023-01-30
4,H00395,H00399,9,9,4,1,2023-01-30
4,H00412,H00428,10,10,9,1,2023-01-30
4,H00431,H00436,10,10,3,1,2023-01-30
4,H00442,H00420,10,10,9,1,2023-01-30
4,H00444,H00432,10,10,23,1,2023-01-30
4,H00451,H00452,10,10,17,1,2023-01-30
4,H00489,H00509,11,11,20,0,2023-01-30
4,H00493,H00805,11,18,15,0,2023-01-30
4,H00500,H00499,11,11,22,1,2023-01-30
4,H00501,H00480,11,11,2,1,2023-01-30
4,H00511,H00477,11,11,20,1,2023-01-30
4,H00515,H00028,12,0,15,1,2023-01-30
4,H00527,H00544,12,12,11,1,2023-01-30
4,H00528,H00550,12,12,20,1,2023-01-30
4,H00529,H00632,12,14,2,0,2023-01-30
4,H00536,H00646,12,14,20,1,2023-01-30
4,H00558,H00174,12,3,3,0,2023-01-30
4,H00585,H00584,13,13,15,1,2023-01-30
4,H00589,H00619,13,13,22,1,2023-01-30
4,H00595,H00578,13,13,17,0,2023-01-30
4,H00605,H00262,13,5,22,0,2023-01-30
4,H00622,H00007,13,0,10,1,2023-01-30
4,H00632,H00654,14,14,4,1,2023-01-30
4,H00639,H00379,14,9,13,1,2023-01-30
4,H00643,H00516,14,12,14,0,2023-01-30
4,H00648,H00300,14,6,16,0,2023-01-30
4,H00661,H00630,14,14,16,1,2023-01-30
4,H00662,H00577,14,12,23,0,2023-01-30
4,H00665,H00668,15,15,13,0,2023-01-30
4,H00666,H00697,15,15,3,0,2023-01-30
4,H00667,H00669,15,15,3,1,2023-01-30
4,H00688,H00672,15,15,17,1,2023-01-30
4,H00693,H00686,15,15,20,1,2023-01-30
4,H00699,H00454,15,10,11,1,2023-01-30
4,H00706,H00790,16,18,8,1,2023-01-30
4,H00709,H00705,16,16,14,1,2023-01-30
4,H00714,H00681,16,15,13,1,2023-01-30
4,H00768,H00768,17,17,14,1,2023-01-30
4,H00774,H00684,18,15,5,1,2023-01-30
4,H00784,H00782,18,18,23,0,2023-01-30
4,H00796,H00749,18,17,4,0,2023-01-30
4,H00804,H00323,18,7,13,0,2023-01-30
4,H00805,H00150,18,3,22,0,2023-01-30
4,H00818,H00017,19,0,7,0,2023-01-30
4,H00828,H00822,19,19,3,0,2023-01-30
4,H00829,H00835,19,19,12,0,2023-01-30
4,H00838,H00824,19,19,22,1,2023-01-30
4,H00844,H00852,20,20,4,1,2023-01-30
4,H00849,H00847,20,20,21,0,2023-01-30
4,H00850,H00871,20,20,4,0,2023-01-30
4,H00852,H00855,20,20,8,1,2023-01-30
4,H00856,H00845,20,20,14,1,2023-01-30
4,H00857,H00626,20,13,11,1,2023-01-30
4,H00861,H00844,20,20,22,0,2023-01-30
4,H00862,H00805,20,18,11,1,2023-01-30
4,H00879,H00891,21,21,15,1,2023-01-30
4,H00881,H00902,21,21,8,1,2023-01-30
4,H00883,H00887,21,21,15,0,2023-01-30
4,H00892,H00895,21,21,3,1,2023-01-30
4,H00894,H00886,21,21,17,1,2023-01-30
