holding_id,area_id,holding_type,herd_size
H00151,A03,farm,43
H00152,A03,farm,55
H00153,A03,farm,160
H00154,A03,farm,62
H00155,A03,farm,101
H00156,A03,farm,43
H00157,A03,farm,29
H00158,A03,farm,33
H00159,A03,farm,38
H00160,A03,farm,198
H00161,A03,farm,36
H00162,A03,farm,93
H00163,A03,farm,34
H00164,A03,farm,98
H00165,A03,farm,71
H00166,A03,farm,52
H00167,A03,farm,56
H00168,A03,farm,39
H00169,A03,farm,74
H00170,A03,farm,44
H00171,A03,farm,29
H00172,A03,farm,28
H00173,A03,farm,63
H00174,A03,farm,143
H00175,A03,farm,63
H00176,A03,farm,53
H00177,A03,farm,67
H00178,A03,farm,122
H00179,A03,farm,65
H00180,A03,farm,45
H00181,A03,farm,109
H00182,A03,farm,73
H00183,A03,farm,140
H00184,A03,farm,63
H00185,A03,farm,29
H00186,A03,farm,27
H00187,A04,farm,59
H00188,A04,farm,21
H00189,A04,farm,18
H00190,A04,farm,51
H00191,A04,farm,13
H00192,A04,farm,14
H00193,A04,farm,32
H00194,A04,farm,18
H00195,A04,farm,23
H00196,A04,farm,21
H00197,A04,farm,27
H00198,A04,farm,49
H00199,A04,farm,24
H00200,A04,farm,32
H00201,A04,farm,8
H00202,A04,farm,22
H00203,A04,farm,15
H00204,A04,farm,12
H00205,A04,farm,14
H00206,A04,farm,19
H00207,A04,farm,37
H00208,A04,farm,12
H00209,A04,farm,23
H00210,A04,farm,18
H00211,A04,farm,19
H00212,A04,farm,39
H00213,A04,farm,30
H00214,A04,farm,47
H00215,A04,farm,21
H00216,A04,farm,16
H00217,A04,farm,20
H00218,A04,farm,26
H00219,A04,farm,25
H00220,A04,farm,13
H00221,A04,farm,24
H00222,A04,farm,26
H00223,A04,farm,93
H00224,A04,farm,64
H00225,A04,farm,15
H00226,A04,farm,19
H00227,A04,farm,11
H00228,A04,farm,17
H00229,A04,farm,27
H00230,A04,farm,44
H00231,A04,farm,15
H00232,A06,market,39
H00233,A06,farm,18
H00234,A06,farm,52
H00235,A06,farm,31
H00236,A06,farm,42
H00237,A06,farm,35
H00238,A06,farm,54
H00239,A06,farm,22
H00240,A06,farm,25
H00241,A06,farm,198
H00242,A06,farm,28
H00243,A06,farm,31
H00244,A06,farm,167
H00245,A06,farm,315
H00246,A06,farm,30
H00247,A06,farm,46
H00248,A06,farm,70
H00249,A06,farm,157
H00250,A06,farm,33
H00251,A06,farm,50
H00252,A06,farm,90
H00253,A06,farm,73
H00254,A06,farm,46
H00255,A06,farm,53
H00256,A06,farm,26
H00257,A06,farm,50
H00258,A06,farm,49
H00259,A06,farm,65
H00260,A06,farm,42
H00261,A06,farm,75
H00262,A06,farm,103
H00263,A06,farm,62
H00264,A06,farm,70
H00265,A07,market,23
H00266,A07,farm,16
H00267,A07,farm,27
H00268,A07,farm,21
H00269,A07,farm,73
H00270,A07,farm,54
H00271,A07,farm,28
H00272,A07,farm,15
H00273,A07,farm,13
H00274,A07,farm,44
H00275,A07,farm,26
H00276,A07,farm,29
H00277,A07,farm,10
H00278,A07,farm,38
H00279,A07,farm,29
H00280,A07,farm,13
H00281,A07,farm,18
H00282,A07,farm,26
H00283,A07,farm,23
H00284,A07,farm,19
H00285,A07,farm,21
H00286,A07,farm,20
H00287,A07,farm,25
H00288,A07,farm,51
H00289,A07,farm,7
H00290,A07,farm,20
H00291,A07,farm,25
H00292,A07,farm,26
H00293,A07,farm,19
H00294,A07,farm,10
H00295,A07,farm,27
H00296,A07,farm,59
H00297,A07,farm,11
H00298,A07,farm,36
H00299,A07,farm,19
H00300,A07,farm,22
H00301,A07,farm,13
H00302,A07,farm,19
H00303,A07,farm,46
H00304,A07,farm,31
H00305,A07,farm,59
H00306,A07,farm,43
H00307,A07,farm,29
H00308,A08,farm,158
H00309,A08,farm,74
H00310,A08,farm,92
H00311,A08,farm,48
H00312,A08,farm,59
H00313,A08,farm,38
H00314,A08,farm,101
H00315,A08,farm,29
H00316,A08,farm,90
H00317,A08,farm,51
H00318,A08,farm,113
H00319,A08,farm,88
H00320,A08,farm,165
H00321,A08,farm,87
H00322,A08,farm,24
H00323,A08,farm,55
H00324,A08,farm,30
H00325,A08,farm,43
H00326,A08,farm,138
H00327,A08,farm,83
H00328,A08,farm,38
H00329,A08,farm,32
H00330,A08,farm,58
H00331,A08,farm,29
H00332,A08,farm,39
H00333,A08,farm,68
H00334,A08,farm,112
H00335,A08,farm,81
H00336,A08,farm,16
H00337,A08,farm,68
H00338,A08,farm,60
H00339,A08,farm,72
H00340,A08,farm,146
H00341,A08,farm,18
H00342,A08,farm,41
H00343,A08,farm,80
H00344,A09,farm,135
H00345,A09,farm,71
H00346,A09,farm,93
H00347,A09,farm,41
H00348,A09,farm,91
H00349,A09,farm,106
H00350,A09,farm,65
H00351,A09,farm,65
H00352,A09,farm,67
H00353,A09,farm,35
H00354,A09,farm,52
H00355,A09,farm,52
H00356,A09,farm,71
H00357,A09,farm,102
H00358,A09,farm,31
H00359,A09,farm,53
H00360,A09,farm,135
H00361,A09,farm,37
H00362,A09,farm,36
H00363,A09,farm,64
H00364,A09,farm,93
H00365,A09,farm,57
H00366,A09,farm,124
H00367,A09,farm,94
H00368,A09,farm,93
H00369,A09,farm,79
H00370,A09,farm,223
H00371,A09,farm,51
H00372,A09,farm,19
H00373,A09,farm,145
H00374,A09,farm,44
H00375,A09,farm,61
H00376,A09,farm,122
H00377,A09,farm,23
H00378,A09,farm,28
H00379,A10,market,23
H00380,A10,farm,36
H00381,A10,farm,74
H00382,A10,farm,77
H00383,A10,farm,67
H00384,A10,farm,26
H00385,A10,farm,16
H00386,A10,farm,59
H00387,A10,farm,44
H00388,A10,farm,74
H00389,A10,farm,86
H00390,A10,farm,62
H00391,A10,farm,89
H00392,A10,farm,65
H00393,A10,farm,78
H00394,A10,farm,38
H00395,A10,farm,52
H00396,A10,farm,64
H00397,A10,farm,92
H00398,A10,farm,46
H00399,A10,farm,77
H00400,A10,farm,49
H00401,A10,farm,53
H00402,A10,farm,92
H00403,A10,farm,19
H00404,A10,farm,28
H00405,A10,farm,25
H00406,A10,farm,16
H00407,A10,farm,39
H00408,A10,farm,88
H00409,A10,farm,49
H00410,A10,farm,64
H00411,A10,farm,107
H00412,A11,market,22
H00413,A11,farm,48
H00414,A11,farm,24
H00415,A11,farm,15
H00416,A11,farm,17
H00417,A11,farm,11
H00418,A11,farm,14
H00419,A11,farm,19
H00420,A11,farm,35
H00421,A11,farm,59
H00422,A11,farm,11
H00423,A11,farm,28
H00424,A11,farm,13
H00425,A11,farm,29
H00426,A11,farm,21
H00427,A11,farm,9
H00428,A11,farm,38
H00429,A11,farm,16
H00430,A11,farm,17
H00431,A11,farm,13
H00432,A11,farm,16
H00433,A11,farm,28
H00434,A11,farm,20
H00435,A11,farm,27
H00436,A11,farm,27
H00437,A11,farm,47
H00438,A11,farm,19
H00439,A11,farm,11
H00440,A11,farm,41
H00441,A11,farm,19
H00442,A11,farm,42
H00443,A11,farm,28
H00444,A11,farm,21
H00445,A11,farm,27
H00446,A11,farm,67
H00447,A11,farm,72
H00448,A11,farm,23
H00449,A11,farm,25
H00450,A11,farm,41
H00451,A11,farm,15
H00452,A11,farm,27
H00453,A11,farm,22
H00454,A11,farm,27
H00455,A11,farm,15
H00456,A11,farm,10
H00457,A11,farm,8
H00458,A11,farm,13
H00459,A11,farm,18
H00460,A11,farm,19
H00461,A11,farm,67
H00462,A11,farm,42
H00463,A12,farm,14
H00464,A12,farm,27
H00465,A12,farm,18
H00466,A12,farm,19
H00467,A12,farm,25
H00468,A12,farm,32
H00469,A12,farm,19
H00470,A12,farm,41
H00471,A12,farm,13
H00472,A12,farm,23
H00473,A12,farm,98
H00474,A12,farm,25
H00475,A12,farm,50
H00476,A12,farm,24
H00477,A12,farm,31
H00478,A12,farm,22
H00479,A12,farm,21
H00480,A12,farm,15
H00481,A12,farm,29
H00482,A12,farm,15
H00483,A12,farm,32
H00484,A12,farm,41
H00485,A12,farm,28
H00486,A12,farm,19
H00487,A12,farm,29
H00488,A12,farm,19
H00489,A12,farm,38
H00490,A12,farm,9
H00491,A12,farm,19
H00492,A12,farm,9
H00493,A12,farm,11
H00494,A12,farm,48
H00495,A12,farm,37
H00496,A12,farm,16
H00497,A12,farm,11
H00498,A12,farm,6
H00499,A12,farm,17
H00500,A12,farm,88
H00501,A12,farm,29
H00502,A12,farm,17
H00503,A12,farm,29
H00504,A12,farm,10
H00505,A12,farm,19
H00506,A12,farm,24
H00507,A12,farm,22
H00508,A12,farm,35
H00509,A12,farm,27
H00510,A12,farm,32
H00511,A12,farm,16
H00512,A12,farm,37
H00513,A12,farm,56
H00514,A13,farm,14
H00515,A13,farm,47
H00516,A13,farm,20
H00517,A13,farm,49
H00518,A13,farm,18
H00519,A13,farm,51
H00520,A13,farm,24
H00521,A13,farm,26
H00522,A13,farm,54
H00523,A13,farm,19
H00524,A13,farm,14
H00525,A13,farm,18
H00526,A13,farm,29
H00527,A13,farm,10
H00528,A13,farm,32
H00529,A13,farm,17
H00530,A13,farm,42
H00531,A13,farm,7
H00532,A13,farm,15
H00533,A13,farm,10
H00534,A13,farm,15
H00535,A13,farm,26
H00536,A13,farm,21
H00537,A13,farm,20
H00538,A13,farm,21
H00539,A13,farm,25
H00540,A13,farm,13
H00541,A13,farm,33
H00542,A13,farm,32
H00543,A13,farm,28
H00544,A13,farm,31
H00545,A13,farm,26
H00546,A13,farm,71
H00547,A13,farm,22
H00548,A13,farm,19
H00549,A13,farm,15
H00550,A13,farm,13
H00551,A13,farm,12
H00552,A13,farm,14
H00553,A13,farm,22
H00554,A13,farm,27
H00555,A13,farm,23
H00556,A13,farm,15
H00557,A13,farm,37
H00558,A13,farm,34
H00559,A13,farm,21
H00560,A13,farm,16
H00561,A13,farm,30
H00562,A13,farm,25
H00563,A13,farm,11
H00564,A13,farm,22
H00565,A13,farm,26
H00566,A13,farm,14
H00567,A13,farm,25
H00568,A13,farm,11
H00569,A13,farm,47
H00570,A13,farm,45
H00571,A13,farm,20
H00572,A13,farm,27
H00573,A13,farm,7
H00574,A13,farm,13
H00575,A13,farm,19
H00576,A13,farm,13
H00577,A13,farm,33
H00578,A14,farm,69
H00579,A14,farm,12
H00580,A14,farm,15
H00581,A14,farm,26
H00582,A14,farm,55
H00583,A14,farm,12
H00584,A14,farm,26
H00585,A14,farm,62
H00586,A14,farm,10
H00587,A14,farm,12
H00588,A14,farm,18
H00589,A14,farm,17
H00590,A14,farm,35
H00591,A14,farm,26
H00592,A14,farm,9
H00593,A14,farm,30
H00594,A14,farm,17
H00595,A14,farm,46
H00596,A14,farm,16
H00597,A14,farm,16
H00598,A14,farm,30
H00599,A14,farm,34
H00600,A14,farm,29
H00601,A14,farm,10
H00602,A14,farm,30
H00603,A14,farm,13
H00604,A14,farm,26
H00605,A14,farm,11
H00606,A14,farm,29
H00607,A14,farm,15
H00608,A14,farm,12
H00609,A14,farm,33
H00610,A14,farm,26
H00611,A14,farm,16
H00612,A14,farm,50
H00613,A14,farm,18
H00614,A14,farm,23
H00615,A14,farm,26
H00616,A14,farm,16
H00617,A14,farm,29
H00618,A14,farm,17
H00619,A14,farm,18
H00620,A14,farm,48
H00621,A14,farm,13
H00622,A14,farm,7
H00623,A14,farm,55
H00624,A14,farm,95
H00625,A14,farm,18
H00626,A14,farm,9
H00627,A14,farm,19
H00628,A15,market,20
H00629,A15,farm,13
H00630,A15,farm,31
H00631,A15,farm,30
H00632,A15,farm,11
H00633,A15,farm,33
H00634,A15,farm,71
H00635,A15,farm,25
H00636,A15,farm,19
H00637,A15,farm,21
H00638,A15,farm,32
H00639,A15,farm,10
H00640,A15,farm,25
H00641,A15,farm,18
H00642,A15,farm,63
H00643,A15,farm,21
H00644,A15,farm,57
H00645,A15,farm,13
H00646,A15,farm,31
H00647,A15,farm,27
H00648,A15,farm,14
H00649,A15,farm,25
H00650,A15,farm,44
H00651,A15,farm,19
H00652,A15,farm,10
H00653,A15,farm,22
H00654,A15,farm,14
H00655,A15,farm,19
H00656,A15,farm,22
H00657,A15,farm,10
H00658,A15,farm,10
H00659,A15,farm,29
H00660,A15,farm,17
H00661,A15,farm,7
H00662,A15,farm,35
H00663,A15,farm,26
H00664,A15,farm,16
H00665,A16,market,12
H00666,A16,farm,36
H00667,A16,farm,27
H00668,A16,farm,86
H00669,A16,farm,28
H00670,A16,farm,28
H00671,A16,farm,21
H00672,A16,farm,35
H00673,A16,farm,32
H00674,A16,farm,45
H00675,A16,farm,17
H00676,A16,farm,18
H00677,A16,farm,18
H00678,A16,farm,35
H00679,A16,farm,52
H00680,A16,farm,18
H00681,A16,farm,18
H00682,A16,farm,27
H00683,A16,farm,20
H00684,A16,farm,38
H00685,A16,farm,8
H00686,A16,farm,15
H00687,A16,farm,15
H00688,A16,farm,7
H00689,A16,farm,14
H00690,A16,farm,14
H00691,A16,farm,20
H00692,A16,farm,42
H00693,A16,farm,20
H00694,A16,farm,13
H00695,A16,farm,22
H00696,A16,farm,40
H00697,A16,farm,14
H00698,A16,farm,14
H00699,A16,farm,31
H00700,A16,farm,20
H00701,A17,farm,22
H00702,A17,farm,33
H00703,A17,farm,13
H00704,A17,farm,22
H00705,A17,farm,20
H00706,A17,farm,12
H00707,A17,farm,10
H00708,A17,farm,33
H00709,A17,farm,19
H00710,A17,farm,13
H00711,A17,farm,21
H00712,A17,farm,42
H00713,A17,farm,8
H00714,A17,farm,11
H00715,A17,farm,14
H00716,A17,farm,51
H00717,A17,farm,26
H00718,A17,farm,34
H00719,A17,farm,13
H00720,A17,farm,13
H00721,A17,farm,29
H00722,A17,farm,23
H00723,A17,farm,30
H00724,A17,farm,20
H00725,A17,farm,26
H00726,A17,farm,25
H00727,A17,farm,35
H00728,A17,farm,35
H00729,A17,farm,10
H00730,A17,farm,8
H00731,A17,farm,39
H00732,A17,farm,43
H00733,A17,farm,13
H00734,A17,farm,9
H00735,A17,farm,24
H00736,A17,farm,38
H00737,A17,farm,62
H00738,A17,farm,30
H00739,A17,farm,19
H00740,A18,farm,34
H00741,A18,farm,57
H00742,A18,farm,48
H00743,A18,farm,32
H00744,A18,farm,189
H00745,A18,farm,162
H00746,A18,farm,110
H00747,A18,farm,34
H00748,A18,farm,94
H00749,A18,farm,83
H00750,A18,farm,74
H00751,A18,farm,118
H00752,A18,farm,82
H00753,A18,farm,88
H00754,A18,farm,83
H00755,A18,farm,69
H00756,A18,farm,21
H00757,A18,farm,60
H00758,A18,farm,42
H00759,A18,farm,28
H00760,A18,farm,152
H00761,A18,farm,157
H00762,A18,farm,126
H00763,A18,farm,66
H00764,A18,farm,125
H00765,A18,farm,57
H00766,A18,farm,64
H00767,A18,farm,31
H00768,A18,farm,72
H00769,A18,farm,59
H00770,A18,farm,27
H00771,A18,farm,55
H00772,A18,farm,55
H00773,A18,farm,163
H00774,A19,market,57
H00775,A19,farm,66
H00776,A19,farm,59
H00777,A19,farm,51
H00778,A19,farm,31
H00779,A19,farm,52
H00780,A19,farm,37
H00781,A19,farm,28
H00782,A19,farm,77
H00783,A19,farm,72
H00784,A19,farm,21
H00785,A19,farm,53
H00786,A19,farm,102
H00787,A19,farm,106
H00788,A19,farm,104
H00789,A19,farm,58
H00790,A19,farm,35
H00791,A19,farm,31
H00792,A19,farm,70
H00793,A19,farm,71
H00794,A19,farm,121
H00795,A19,farm,108
H00796,A19,farm,53
H00797,A19,farm,28
H00798,A19,farm,48
H00799,A19,farm,65
H00800,A19,farm,51
H00801,A19,farm,41
H00802,A19,farm,66
H00803,A19,farm,43
H00804,A19,farm,40
H00805,A19,farm,68
H00806,A19,farm,45
H00807,A19,farm,66
H00808,A19,farm,67
H00809,A19,farm,30
H00810,A20,farm,43
H00811,A20,farm,132
H00812,A20,farm,30
H00813,A20,farm,18
H00814,A20,farm,20
H00815,A20,farm,58
H00816,A20,farm,58
H00817,A20,farm,53
H00818,A20,farm,116
H00819,A20,farm,13
H00820,A20,farm,72
H00821,A20,farm,142
H00822,A20,farm,30
H00823,A20,farm,46
H00824,A20,farm,37
H00825,A20,farm,34
H00826,A20,farm,47
H00827,A20,farm,131
H00828,A20,farm,167
H00829,A20,farm,47
H00830,A20,farm,174
H00831,A20,farm,58
H00832,A20,farm,159
H00833,A20,farm,54
H00834,A20,farm,62
H00835,A20,farm,70
H00836,A20,farm,370
H00837,A20,farm,93
H00838,A20,farm,38
H00839,A20,farm,100
H00840,A20,farm,46
H00841,A20,farm,43
H00842,A22,market,58
H00843,A22,farm,67
H00844,A22,farm,58
H00845,A22,farm,69
H00846,A22,farm,73
H00847,A22,farm,20
H00848,A22,farm,84
H00849,A22,farm,33
H00850,A22,farm,25
H00851,A22,farm,55
H00852,A22,farm,60
H00853,A22,farm,39
H00854,A22,farm,92
H00855,A22,farm,27
H00856,A22,farm,45
H00857,A22,farm,41
H00858,A22,farm,56
H00859,A22,farm,67
H00860,A22,farm,32
H00861,A22,farm,87
H00862,A22,farm,59
H00863,A22,farm,20
H00864,A22,farm,19
H00865,A22,farm,57
H00866,A22,farm,50
H00867,A22,farm,54
H00868,A22,farm,56
H00869,A22,farm,65
H00870,A22,farm,99
H00871,A22,farm,31
H00872,A22,farm,30
H00873,A22,farm,31
H00874,A23,farm,67
H00875,A23,farm,118
H00876,A23,farm,45
H00877,A23,farm,15
H00878,A23,farm,22
H00879,A23,farm,36
H00880,A23,farm,42
H00881,A23,farm,45
H00882,A23,farm,58
H00883,A23,farm,48
H00884,A23,farm,105
H00885,A23,farm,39
H00886,A23,farm,35
H00887,A23,farm,75
H00888,A23,farm,24
H00889,A23,farm,71
H00890,A23,farm,61
H00891,A23,farm,52
H00892,A23,farm,144
H00893,A23,farm,40
H00894,A23,farm,190
H00895,A23,farm,50
H00896,A23,farm,28
H00897,A23,farm,59
H00898,A23,farm,31
H00899,A23,farm,37
H00900,A23,farm,72
H00901,A23,farm,79
H00902,A23,farm,40
H00903,A23,farm,101
H00904,A24,farm,132
H00905,A24,farm,78
H00906,A24,farm,126
H00907,A24,farm,20
H00908,A24,farm,48
H00909,A24,farm,35
H00910,A24,farm,61
H00911,A24,farm,41
H00912,A24,farm,52
H00913,A24,farm,171
H00914,A24,farm,52
H00915,A24,farm,72
H00916,A24,farm,50
H00917,A24,farm,60
H00918,A24,farm,57
H00919,A24,farm,74
H00920,A24,farm,112
H00921,A24,farm,149
H00922,A24,farm,68
H00923,A24,farm,80
H00924,A24,farm,30
H00925,A24,farm,54
H00926,A24,farm,98
H00927,A24,farm,94
H00928,A24,farm,64
H00929,A25,farm,95
H00930,A25,farm,76
H00931,A25,farm,115
H00932,A25,farm,67
H00933,A25,farm,47
H00934,A25,farm,69
H00935,A25,farm,12
H00936,A25,farm,71
H00937,A25,farm,9
H00938,A25,farm,22
H00939,A25,farm,74
H00940,A25,farm,75
H00941,A25,farm,30
H00942,A25,farm,38
H00943,A25,farm,127
H00944,A25,farm,43
H00945,A25,farm,212
H00946,A25,farm,57
H00947,A25,farm,72
H00948,A25,farm,147
H00949,A25,farm,62
H00950,A25,farm,32
H00951,A25,farm,54
H00952,A25,farm,56
H00953,A25,farm,27
H00954,A25,farm,49
H00955,A25,farm,37
H00956,A25,farm,98
H00957,A25,farm,58
H00958,A25,farm,49
H00959,A25,farm,54
H00960,A25,farm,65
H00961,A25,farm,82
H00962,A25,farm,32
H00963,A25,farm,32
H00964,A25,farm,108
H00965,A26,farm,26
H00966,A26,farm,74
H00967,A26,farm,75
H00968,A26,farm,24
H00969,A26,farm,65
H00970,A26,farm,87
H00971,A26,farm,71
H00972,A26,farm,82
H00973,A26,farm,26
H00974,A26,farm,69
H00975,A26,farm,48
H00976,A26,farm,43
H00977,A26,farm,95
H00978,A26,farm,135
H00979,A26,farm,163
H00980,A26,farm,123
H00981,A26,farm,54
H00982,A26,farm,70
H00983,A26,farm,89
H00984,A26,farm,61
H00985,A26,farm,62
H00986,A26,farm,92
H00987,A26,farm,55
H00988,A26,farm,38
H00989,A27,farm,45
H00990,A27,farm,82
H00991,A27,farm,57
H00992,A27,farm,69
H00993,A27,farm,84
H00994,A27,farm,46
H00995,A27,farm,88
H00996,A27,farm,71
H00997,A27,farm,29
H00998,A27,farm,132
H00999,A27,farm,43
H01000,A27,farm,23
H01001,A27,farm,32
H01002,A27,farm,32
H01003,A27,farm,59
H01004,A27,farm,49
H01005,A27,farm,47
H01006,A27,farm,82
H01007,A27,farm,69
H01008,A27,farm,68
H01009,A27,farm,72
H01010,A27,farm,82
H01011,A27,farm,18
H01012,A27,farm,46
H01013,A27,farm,17
H01014,A27,farm,58
H01015,A27,farm,57
H01016,A27,farm,105
H01017,A27,farm,114
H01018,A27,farm,64
H01019,A27,farm,43
H01020,A27,farm,76
H01021,A27,farm,42
